py,ch,en
wáng,亡,"to die / to perish
old variant of 亡[wang2]"
wǎng,魍,"elf / sprite
elf / sprite"
wǎng,辋,"tire / wheel band
tire / wheel band"
wǎng,惘,"desolate
disappointed / perplexed"
wǎng,网,"net / network, a net
net / network"
wǎng,枉,"in the wrong / in vain
to twist / crooked / unjust / in vain"
wǎng,罔,"deceive / there is none
to deceive / there is none / old variant of 網|网[wang3]"
wǎng,往,"to go (in a direction) / past / previous / towards, toward / (of a train) bound for
old variant of 往[wang3]"
wàng,望,"hope / expect / to visit / to gaze (into the distance) / look towards / towards
15th day of month (lunar calendar) / old variant of 望[wang4]"
wàng,忘,"to forget / to overlook / to neglect
to forget / to overlook / to neglect"
wàng,妄,"absurd / fantastic
absurd / fantastic / presumptuous / rash"
wàng,旺,"prosperous / flourishing / to prosper / to flourish
prosperous / flourishing / (of flowers) blooming / (of fire) roaring"
wēi,逶,"winding, curving / swagger
winding, curving / swagger"
wēi,微,"micro / tiny / miniature
tiny / miniature / slightly / profound / abtruse / to decline / one millionth part of / micro- / Taiwan pr. [wei2]"
wēi,危,"danger / to endanger
danger / to endanger / Taiwan pr. [wei2]"
wēi,煨,"simmer / to roast in ashes
to simmer / to roast in ashes"
wēi,偎,"to cuddle
to cuddle"
wēi,威,"power / might / prestige
power / might / prestige"
wēi,巍,"high / lofty / towering / majestic
lofty / towering / Taiwan pr. [wei2]"
wēi,葳,"luxuriant
luxuriant"
wēi,隈,"bay / cove
bay / cove"
wēi,崴,"high, lofty / precipitous
high, lofty / precipitous"
wēi,萎,"spiritless / withered, wither
to wither / to drop / to decline / spiritless / Taiwan pr. [wei1]"
wěi,委,"crooked, give up / indeed / to commission
to entrust / to cast aside / to shift (blame etc) / to accumulate / roundabout / winding / dejected / listless / committee member / council / end / actually / certainly"
wéi,潍,"name of a river
name of a river"
wéi,嵬,"rocky
rocky"
wéi,维,"to preserve / to maintain / to hold together / dimension
to preserve / to maintain / to hold together / dimension / vitamin (abbr. for 維生素|维生素[wei2 sheng1 su4])"
wéi,帏,"curtain / women's apartment / tent
curtain / women's apartment / tent"
wéi,闱,"door to women's room / gate to palace
door to women's room / gate to palace"
wéi,围,"to circle / to surround
to encircle / to surround / all around / to wear by wrapping around (scarf, shawl)"
wéi,涠,"still water
still water"
wéi,帷,"curtain / screen
curtain / screen"
wéi,违,"to disobey / to violate / to separate / to go against
to disobey / to violate / to separate / to go against"
wéi,韦,"(surname) / soft leather
soft leather"
wéi,惟,"-ism / only
-ism / only"
wéi,桅,"mast
mast"
wéi,唯,"-ism / only / alone, yes
yes"
wèi,为,"act as / take...to be / to be / to do / to serve as / to become, because of / for / to
variant of 為|为[wei4], because of / for / to"
wéi,圩,"dike
(dialect) country fair / country market"
wěi,纬,"latitude
latitude / woof (horizontal thread in weaving) / weft"
wěi,伪,"false / fake / forged / bogus
variant of 偽|伪[wei3]"
wěi,洧,"name of a river
name of a river"
wěi,娓,"active / comply with
active / comply with"
wěi,诿,"shirk / give excuses
to shirk / to give excuses"
wěi,伟,"big / large / great
big / large / great"
wěi,韪,"correct / right
correct / right"
wěi,炜,"glow / raging fire
glowing / bright / brilliant"
wěi,痿,"atrophy
atrophy"
wěi,玮,"(reddish jade) / precious / rare
(reddish jade) / precious / rare"
wěi,苇,"reed / rush / Phragmites communis
reed / rush / Phragmites communis"
wěi,尾,"tail
horse's tail / pointed posterior section of a locust etc"
wěi,猥,"humble / rustic / plentiful
humble / rustic / plentiful"
wěi,鲔,"little tuna / Euthnnus allecteratus
little tuna / Euthynnus alletteratus"
wěi,隗,"(surname) / eminent / lofty
eminent / lofty"
wèi,魏,"(surname) / name of a dynasty
tower over a palace gateway (old)"
wèi,味,"taste
taste / smell / classifier for drugs (in TCM)"
wèi,喂,"(interjection) hello / to feed (someone or some animal) / hey / telephone greeting, to feed
to feed"
wèi,谓,"speak of
to speak / to say / to name / to designate / meaning / sense"
wèi,畏,"to fear
to fear"
wèi,卫,"to guard / to protect / to defend / (surname)
to guard / to protect / to defend / abbr. for 衛生|卫生, hygiene / health / abbr. for 衛生間|卫生间, toilet"
wèi,位,"position / location / (measure word for persons) / place / seat
position / location / place / seat / classifier for people (honorific) / classifier for binary bits (e.g. 十六位 16-bit or 2 bytes)"
wèi,未,"1-3 p.m. / 8th earthly branch / not yet / did not / have not / not
not yet / did not / have not / not / 8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep / ancient Chinese compass point: 210°"
wèi,慰,"reassure
to comfort / to console / to reassure"
wèi,渭,"name of a river
the Wei River in Shaanxi through the Guanzhong 關中|关中 plain"
wèi,尉,"(surname) / milit. official / to quiet
military officer"
wèi,胃,"stomach
stomach / CL:個|个[ge4]"
wèi,蔚,"Artemisia japonica / luxuriant, (surname) / place name
Artemisia japonica / luxuriant / resplendent / impressive"
wēn,瘟,"epidemic / pestilence / plague
epidemic / pestilence / plague"
wēn,温,"(luke)warm / to review
warm / lukewarm / temperature / to warm up / mild / soft / tender / to review (a lesson etc) / fever (TCM) / old variant of 瘟[wen1]"
wén,雯,"multicolored clouds
multicolored clouds"
wén,纹,"line / trace / mark
line / trace / mark / pattern / grain (of wood etc)"
wén,文,"language / culture / writing / formal / literary
language / culture / writing / formal / literary / gentle / (old) classifier for coins / Kangxi radical 67"
wén,阌,"wen xiang, Henan province
wen xiang, Henan province"
wén,闻,"(surname) / hear / sniff at
to hear / news / well-known / famous / reputation / fame / to smell / to sniff at"
wén,蚊,"mosquito
old variant of 蚊[wen2]"
wěn,稳,"settled / steady / stable
settled / steady / stable"
wěn,吻,"kiss / mouth
variant of 吻[wen3]"
wěn,刎,"cut across (throat)
cut across (throat)"
wèn,紊,"involved / tangled / disorder, involved / tangled
involved / tangled / disorderly / confused / chaotic / Taiwan pr. [wen4]"
wèn,璺,"a crack, as in porcelain
a crack, as in porcelain"
wèn,汶,"name of a river
Wen River in northwest Sichuan (same as 汶川) / classical name of river in Shandong, used to refer to Qi 齊國|齐国"
wèn,问,"to ask
to ask"
wēng,嗡,"-oin (chem.) as in anisoin
(onom.) buzz / hum / drone"
wēng,翁,"(surname) / elderly person
elderly man / father / father-in-law / neck feathers of a bird (old)"
wěng,蓊,"a plant in bloom / thick
luxuriant vegetation"
wèng,瓮,"earthen jar / urn
variant of 甕|瓮[weng4]"
wō,莴,"(lettuce) / Lactuca sativa
lettuce, see 萵苣|莴苣"
wēi,倭,"Japanese / dwarf
dwarf / Japanese (derog.) (old)"
wō,窝,"nest
nest / pit or hollow on the human body / lair / den / place / to harbor or shelter / to hold in check / to bend / classifier for litters and broods"
wǒ,我,"I / me / myself
I / me / my"
wò,沃,"fertile / rich
fertile / rich / to irrigate / to wash (of river)"
wò,渥,"enrich / moisten
to enrich / to moisten"
wò,幄,"tent
tent"
wò,卧,"to lie / to crouch
to lie / to crouch"
wò,握,"shake hands / to hold / to grasp
to hold / to grasp / to clench (one's fist) / to master / classifier: a handful"
wò,斡,"to turn
to turn"
wò,龌,"dirty / small-minded
dirty / small-minded"
wū,乌,"a crow / black
crow / black"
wū,污,"see 污, dirt / filth
dirty / filthy / foul / corrupt / to smear / to defile / dirt / filth"
wū,屋,"house / room
house / room / CL:間|间[jian1],個|个[ge4]"
wū,邬,"(surname) / ancient place name
surname Wu / ancient place name"
wù,钨,"tungsten
tungsten (chemistry)"
wū,呜,"(onomat. for humming)
(onom.) for humming or whimpering"
wū,巫,"witch
witch / wizard / shaman / also pr. [wu2]"
wū,圬,"to plaster / whitewash
to plaster / whitewash"
wú,诬,"accuse falsely
to accuse falsely"
wú,梧,"Sterculia platanifolia
Sterculia platanifolia"
wú,毋,"no / not
(literary) no / don't / to not have / nobody"
wú,蜈,"centipede
centipede"
wú,无,"-less / not to have / no / none / not / to lack / un-
not to have / no / none / not / to lack / un- / -less"
wú,吴,"(surname) / province of Jiangsu
surname Wu / area comprising southern Jiangsu, northern Zhejiang and Shanghai / name of states in Southern China at different historical periods"
wú,吾,"I / my
I / my (old)"
wú,鼯,"Petaurista leucogenys
Petaurista leucogenys"
wú,芜,"overgrown with weeds
overgrown with weeds"
wǔ,仵,"opponent
equal / well-matched / to violate"
wǔ,忤,"disobedient / unfilial
disobedient / unfilial"
wǔ,庑,"veranda
small rooms facing or to the side of the main hall or veranda"
wǔ,妩,"flatter / to please
flatter / to please"
wǔ,舞,"to dance / to wield / to brandish
to dance / to wield / to brandish"
wǔ,怃,"disappointed / startled
disappointed / startled"
wǔ,五,"five / 5
five / 5"
wǔ,午,"11 a.m.-1 p.m. / 7th earthly branch / noon
7th earthly branch: 11 a.m.-1 p.m., noon, 5th solar month (6th June-6th July), year of the Horse / ancient Chinese compass point: 180° (south)"
wǔ,武,"martial / military
martial / military"
wǔ,伍,"associate with / five / company
squad of five soldiers / to associate with / five (banker's anti-fraud numeral)"
wǔ,捂,"resist, (v) seal up; muffle
to enclose / to cover with the hand (one's eyes, nose or ears) / to cover up (an affair) / contrary / to contradict"
wǔ,鹉,"parrot
parrot"
wǔ,侮,"insult
to insult / to ridicule / to disgrace"
wù,误,"mistake / error / to miss / to harm / to delay / to neglect
mistake / error / to miss / to harm / to delay / to neglect / mistakenly"
wù,晤,"meet (socially)
to meet (socially)"
wù,悟,"comprehend
to comprehend / to apprehend / to become aware"
wù,坞,"dock / low wall
variant of 塢|坞[wu4]"
wù,雾,"fog / mist
fog / mist / CL:場|场[chang2],陣|阵[zhen4]"
wù,务,"affair / business / matter
affair / business / matter / to be engaged in / to attend to / by all means"
wù,婺,"beautiful
beautiful"
wù,勿,"do not
do not"
wù,寤,"awake from sleep
to awake from sleep"
wù,鋈,"-plated / to plate
-plated / to plate"
wù,杌,"low stool
low stool"
wù,痦,"(flat) mole
(flat) mole"
wù,物,"thing / object / matter
thing / object / matter / abbr. for physics 物理"
wù,骛,"fast / greedy / run rapidly
fast / greedy / run rapidly"
wù,戊,"5th heavenly stem
fifth of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / fifth in order / letter ""E"" or roman ""V"" in list ""A, B, C"", or ""I, II, III"" etc / penta"
wù,芴,"fluorine
fluorene C13H10 / (old) name of an edible wild plant"
wù,兀,"(surname) / cut off the feet / rising to a height; towering / bald
cut off the feet / rising to a height / towering / bald"
xí,熄,"(v) extinguish; quench / go out (of fire)
to extinguish / to put out (fire) / to quench / to stop burning / to go out (of fire, lamp etc) / to come to an end / to wither away / to die out / Taiwan pr. [xi2]"
xī,粞,"ground rice / thresh rice
ground rice / thresh rice"
xī,羲,"(surname) / name of an emperor
same as Fuxi 伏羲[Fu2 Xi1], a mythical emperor / surname Xi"
xī,析,"to separate / to divide / to analyze
to separate / to divide / to analyze"
xī,惜,"pity, regret, rue, begrudge
to cherish / to begrudge / to pity / Taiwan pr. [xi2]"
xī,樨,"Osmanthus fragrans
Osmanthus fragrans"
xī,兮,"(part.)
(particle in old Chinese similar to 啊)"
xī,螅,"(intestinal worm)
(intestinal worm)"
xī,醯,"acyl
acyl"
xī,嘻,"laugh / giggle
(interjection expressing surprise, grief etc) / variant of 嘻[xi1]"
xī,僖,"(surname) / cautious / merry / joyful
cautious / merry / joyful"
xī,蟋,"cricket
cricket"
xī,唏,"sound of sobbing
sound of sobbing"
xī,曦,"light of day
light of day"
xī,淅,"sound of rain / sleet etc.
(onom.) sound of rain, sleet etc"
xī,鼷,"mouse
mouse"
xī,西,"west
west"
xī,欷,"to sob
to sob"
xī,昔,"past / former
former times / the past / Taiwan pr. [xi2]"
xī,晰,"understanding
white / variant of 晰[xi1]"
xī,牺,"sacrifice
sacrifice"
xī,奚,"what why
(literary) what? / where? / why?"
xī,希,"rare / infrequent
to hope / to admire / variant of 稀[xi1]"
xī,浠,"name of a river in Hubei
name of a river in Hubei"
xī,息,"news / interest / breath / rest
breath / news / interest (on an investment or loan) / to cease / to stop / to rest / Taiwan pr. [xi2]"
xī,膝,"knee
knee"
xī,蜥,"chameleon / Eumeces latiscutatus
see 蜥蜴[xi1 yi4]"
xī,吸,"to breathe / to suck in / to absorb / to inhale
to breathe / to suck in / to absorb / to inhale"
xī,稀,"diluted / sparse
rare / uncommon / watery / sparse"
xī,烯,"alkene
alkene"
xī,悉,"in all cases / know
in all cases / know"
xī,犀,"rhinoceros
rhinoceros / sharp"
xī,嬉,"amusement
amusement"
xī,熙,"prosperous / splendid
prosperous / splendid"
xī,熹,"bright / warm
bright / warm"
xī,硒,"selenium
selenium (chemistry)"
xī,蹊,"footpath
footpath"
xī,夕,"evening, dusk
dusk / evening / Taiwan pr. [xi4]"
xí,媳,"daughter in law
daughter-in-law"
xí,檄,"dispatch / order
dispatch / order"
xí,觋,"wizard
wizard"
xí,隰,"(surname) / low / marshy land
low / marshy land"
xí,袭,"inherit / raid / suit of clothes
to attack / to inherit / classifier for suits (esp. of funeral robes)"
xí,习,"to practice / to study / habit
to practice / to study / habit"
xí,席,"banquet / woven mat / seat / place, woven mat
variant of 席[xi2] / woven mat"
xí,锡,"tin
tin (chemistry) / to bestow / to confer / to grant / Taiwan pr. [xi2]"
zhé,褶,"(arch.) court dress, pleat / crease
pleat / crease / Taiwan pr. [zhe2]"
xǐ,喜,"to be fond of / to like / to enjoy / to be happy / to feel pleased / happiness / delight / glad
to be fond of / to like / to enjoy / to be happy / to feel pleased / happiness / delight / glad"
xǐ,徙,"change one's residence
(literary) to change one's residence"
xǐ,洗,"to wash / to bathe
to wash / to bathe / to develop (photo)"
xǐ,屣,"slippers
slippers"
xǐ,禧,"joy
joy"
xǐ,葸,"feel insecure / unhappy
feel insecure / unhappy"
xǐ,蓰,"(grass) / increase five fold
(grass) / increase five fold"
xǐ,玺,"ruler's seal
ruler's seal"
xì,细,"fine / minutely / thin / slender
thin or slender / finely particulate / thin and soft / fine / delicate / trifling / (of a sound) quiet / frugal"
xì,舄,"shoe / slipper
shoe / slipper"
xì,戏,"trick / drama / play / show
trick / drama / play / show / CL:出[chu1],場|场[chang3],臺|台[tai2]"
xì,系,"be / connection / relation / tie up / bind, be / system / to tie / department / faculty, connect / to tie
to connect / to arrest / to worry"
xì,禊,"purification ceremony
semi-annual ceremony of purification"
xì,饩,"grain ration / sacrificial victim
grain ration / sacrificial victim"
xì,隙,"crack / occasion for dislike
crack / crevice / gap or interval / loophole / discord / rift"
xì,翕,"agree
to open and close (the mouth etc) / friendly / compliant / Taiwan pr. [xi4]"
xiā,瞎,"blind
blind / groundlessly / foolishly / to no purpose"
xiā,虾,"shrimp / prawn
shrimp / prawn"
xiā,呷,"suck, swallow, drink
suck, swallow, drink"
xiá,瑕,"blemish / flaw in jade
blemish / flaw in jade"
xiá,狎,"be intimate with
be intimate with"
xiá,黠,"(phonetic) / crafty
(phonetic) / crafty"
xiá,柙,"cage / pen / scabbard
cage / pen / scabbard"
xiá,霞,"red clouds
red clouds"
xiá,峡,"gorge
gorge"
xiá,硖,"place name
place name"
xiá,侠,"heroic
knight-errant / brave and chivalrous / hero / heroic"
xiá,狭,"narrow / narrow-minded
old variant of 狹|狭[xia2]"
xiá,遐,"abandon / distant
distant / long-lasting / to abandon"
xiá,辖,"have jurisdiction over
to govern / to control / having jurisdiction over / linchpin of a wheel (archaic) / noise of a barrow"
xiá,匣,"box
box"
xiá,暇,"leisure
leisure"
xià,吓,"to frighten / to scare / to intimidate / to threaten
to frighten / to scare"
xià,罅,"crack / grudge
crack / grudge"
xià,下,"under / second (of two parts) / next (week, etc.) / lower / below / underneath / down(wards) / to decline / to go down / latter
down / downwards / below / lower / later / next (week etc) / second (of two parts) / to decline / to go down / to arrive at (a decision, conclusion etc) / measure word to show the frequency of an action"
xià,夏,"summer / Xia (proper name)
summer"
xiān,先,"early / prior / former / in advance / first
early / prior / former / in advance / first"
xiān,跹,"manner of dancing / walk around
to manner of dancing / to walk around"
xiān,酰,"(chem.) -acyl / acid radical
acid radical / -acyl (chemistry)"
xiān,仙,"immortal
variant of 仙[xian1]"
xiān,氙,"xenon
xenon (chemistry)"
xiān,掀,"lift (cover)
to lift (a lid) / to rock / to convulse"
xiān,暹,"Siam
sunrise"
xiān,鲜,"fresh, few / rare
old variant of 鮮|鲜[xian3]"
xián,嫌,"to dislike / to suspect
to dislike / suspicion / resentment / enmity / abbr. for 嫌犯[xian2 fan4], criminal suspect"
xián,舷,"sides of boat
side of a ship or an aircraft"
xián,衔,"hold in mouth, hold in mouth / nominal office
bit (of a bridle) / to hold in the mouth / to harbor (feelings) / to link / to accept / rank / title"
xián,娴,"elegant / refined
elegant / refined / to be skilled at"
xián,咸,"all / in all cases / salty, salty
salted / salty / stingy / miserly"
xián,贤,"worthy (person)
worthy or virtuous person / honorific used for a person of the same or a younger generation"
xián,弦,"bow string / string of mus. instr., string of mus. instr.
bow string / string of musical instrument / watchspring / chord (segment of curve) / hypotenuse / CL:根[gen1]"
xián,涎,"saliva / shamelessly
saliva"
xián,闲,"to stay idle / to be unoccupied / not busy / leisure / enclosure
variant of 閑|闲, idle / unoccupied / leisure / free time"
xián,鹇,"silver pheasant badge worn by civil officials of the 5th grade
silver pheasant (Phasianus nycthemerus) / silver pheasant badge worn by civil officials of the 5th grade"
xián,痫,"epilepsy / insanity
epilepsy / insanity"
xiàn,蚬,"Cyclina orientalis
Cyclina orientalis"
xiǎn,跣,"barefooted
barefooted"
xiǎn,燹,"conflagration
conflagration"
xiǎn,险,"danger (ous) / rugged
danger / dangerous / rugged"
xiǎn,藓,"mosses on damp walls
moss / lichen / moss on damp walls / used erroneously for 蘇|苏"
xiǎn,冼,"(surname)
surname Xian"
xiǎn,猃,"long-snout dog
a kind of dog with a long snout / see 獫狁|猃狁[Xian3 yun3]"
xiǎn,显,"prominent / conspicuous
prominent / conspicuous / (prefix) phanero-"
xiǎn,筅,"bamboo brush for utensils
bamboo brush for utensils"
xiǎn,铣,"shining metal
shining metal / (old) the 16th of the month (abbreviation used in telegrams)"
xiàn,献,"to offer
to offer / to present / to dedicate / to donate / to show / to put on display / worthy person (old)"
xiàn,陷,"to fall / trap
pitfall / trap / to get stuck / to sink / to cave in / to frame (false charge) / to capture (a city in battle) / to fall (to the enemy) / defect"
xiàn,限,"limit / bound
limit / bound / to set a limit (on)"
xiàn,岘,"steep hill
abbr. for 峴首山|岘首山[Xian4 shou3 shan1] / Mt Xianshou in Hubei / steep hill / used in place names"
xiàn,宪,"statute / constitution
statute / constitution"
xiàn,霰,"sleet
graupel / snow pellet / soft hail"
xiàn,腺,"gland
gland"
xiàn,县,"a district / county
county"
xiàn,馅,"stuffing / forcemeat
stuffing / forcemeat / filling"
xiàn,苋,"Amarantus mangostanus
amaranth (genus Amaranthus) / Joseph's coat (Amaranthus tricolor) / Chinese spinach (Amaranth mangostanus)"
xiàn,线,"thread / string / wire / line
thread / string / wire / line / CL:條|条[tiao2],股[gu3],根[gen1]"
xiàn,现,"appear / present / now / existing / current
to appear / present / now / existing / current"
xiàn,羡,"to envy
to envy"
xiāng,厢,"box (in theater) / side room
box (in theater) / side room / side"
xiāng,箱,"box / trunk / chest
box / trunk / chest"
xiāng,襄,"assist
to help / to assist / mutual assistance / to rush into or up / to raise or hold up / high / tall / old variant of 欀 / chariot horse (old) / change (old)"
xiāng,镶,"to inlay / to embed / ridge / border
to inlay / to embed / ridge / border"
xiāng,乡,"country / village
country or countryside / native place / home village or town / township (PRC administrative unit)"
xiāng,香,"fragrant / incense / (of food) savory / appetizing / sweet / scented / popular
fragrant / sweet smelling / aromatic / savory or appetizing / (to eat) with relish / (of sleep) sound / perfume or spice / joss or incense stick / CL:根[gen1]"
xiāng,缃,"light yellow color
light yellow color"
xiāng,湘,"name of a river
abbr. for Hunan 湖南 province in south central China / abbr. for Xiangjiang river in Hunan province"
xiāng,芗,"(Fujian drama)
aromatic herb used for seasoning / variant of 香[xiang1]"
xiāng,骧,"prance (as a horse)
(literary) to run friskily (of a horse) / to raise / to hold high"
xiāng,葙,"Celosia argentea
see 青葙, feather cockscomb (Celosia argentea)"
xiāng,相,"each other / one another / mutually, appearance / portrait / picture
appearance / portrait / picture / government minister / (physics) phase / (literary) to appraise (esp. by scrutinizing physical features) / to read sb's fortune (by physiognomy, palmistry etc)"
xiáng,翔,"soar
to soar / to glide / variant of 詳|详[xiang2]"
xiáng,详,"detailed / comprehensive
detailed / comprehensive"
xiáng,庠,"asylum for the aged / school
asylum for the aged / school"
xiáng,祥,"auspicious / propitious
auspicious / propitious"
xiǎng,鲞,"wine-preserved pomfret
dried fish"
xiǎng,享,"enjoy
old variant of 享[xiang3]"
xiǎng,响,"to make a sound / to sound / to ring / (a measure word for sound) / loud
echo / sound / noise / to make a sound / to sound / to ring / loud / classifier for noises"
xiǎng,饷,"soldier's pay
variant of 餉|饷[xiang3]"
xiǎng,想,"to think / to believe / to suppose / to wish / to want / to miss
to think / to believe / to suppose / to wish / to want / to miss (feel wistful about the absence of sb or sth)"
xiǎng,飨,"offer or enjoy sacrifice
(literary) to offer food and drinks / to entertain"
xiàng,像,"(look) like / similar (to) / appearance / to appear / to seem / image / portrait / resemble / seem
to resemble / to be like / to look as if / such as / appearance / image / portrait / image under a mapping (math.)"
xiàng,象,"shape / form / appearance / elephant / image under a map (math.)
elephant / CL:隻|只[zhi1] / shape / form / appearance / to imitate"
xiàng,橡,"oak / Quercus serrata
oak / Quercus serrata"
xiàng,向,"direction / part / side / towards / to / guide / opposite to, guide / opposite to
variant of 向[xiang4] / direction / orientation / to face / to turn toward / to / towards / shortly before / formerly"
xiàng,巷,"lane / alley
lane / alley"
xiàng,项,"(surname) / back of neck / item / thing
back of neck / item / thing / term (in a mathematical formula) / sum (of money) / classifier for principles, items, clauses, tasks, research projects etc"
xiāo,潇,"river name / sound of rain and wind
(of water) deep and clear / (of wind and rain) howling and pounding / (of light rain) pattering"
xiāo,哓,"a cry of alarm / querulous
a cry of alarm / querulous"
xiāo,嚣,"clamor
clamor"
xiāo,宵,"night
night"
xiāo,萧,"mournful
miserable / desolate / dreary / Chinese mugwort"
xiāo,霄,"firmament / heaven
firmament / heaven"
xiāo,骁,"brave / good horse / strong
brave / good horse / strong"
xiāo,硝,"saltpeter / to tan (leather)
saltpeter / to tan (leather)"
xiāo,哮,"pant / roar / bark (of animals)
pant / roar / bark (of animals)"
xiāo,枵,"empty / hollow of a tree
empty / hollow of a tree"
xiāo,销,"to melt / to do away with / to sell
to melt (metal) / to cancel or annul / to sell / to spend / to fasten with a bolt / bolt or pin"
xiāo,枭,"brave / owl / strix uralensis
owl / valiant / trafficker"
xiāo,消,"consume / news / subside / to disappear / to vanish
to disappear / to vanish / to eliminate / to spend (time) / have to / need"
xiāo,箫,"(flute) / pan pipes / xiao - a vertical bamboo flute
xiao, a free reed mouth organ with five or more pipes blown from the bottom / same as 排簫|排箫 / also translated as pan pipes"
xiāo,绡,"raw silk
raw silk"
xiāo,逍,"leisurely / easy-going
leisurely / easy-going"
xiāo,魈,"elf
elf / demon"
xuē,削,"to scrape, to reduce / to pare (away) / to cut (down)
to pare / to reduce / to remove / Taiwan pr. [xue4]"
xiǎo,晓,"dawn / to know / to tell (sb sth) / dawn
dawn / daybreak / to know / to let sb know / to make explicit"
xiǎo,小,"small / tiny / few / young
small / tiny / few / young"
xiǎo,筱,"dwarf bamboo / thin bamboo
dwarf bamboo / thin bamboo"
xiào,效,"imitate, effect / efficacy / imitate
effect / efficacy / to imitate"
xiào,笑,"laugh / smile
laugh / smile / CL:個|个[ge4]"
xiào,孝,"filial
filial piety or obedience / mourning apparel"
xiào,啸,"to hiss / to whistle
to hiss / to whistle"
xiào,肖,"similar / resembling / to resemble / to be like
similar / resembling / to resemble / to be like"
xiē,歇,"to rest
to rest / to take a break / to stop / to halt / (dialect) to sleep / a moment / a short while"
hé,蝎,"scorpion
scorpion"
xiē,楔,"to wedge / wedge
to wedge / wedge"
xiē,些,"some / few / several / (a measure word)
some / few / several / measure word indicating a small amount or small number (greater than 1)"
xié,斜,"slanting
inclined / slanting / oblique / tilting"
xié,谐,"harmonious
harmonious"
xié,邪,"demonical / iniquitous / nefarious
demonic / iniquitous / nefarious / evil / unhealthy influences that cause disease (Chinese medicine)"
xié,缬,"knot / tie a knot
knot / tie a knot"
xié,携,"to carry / to take along / to bring along / to hold (hands)
to carry / to take along / to bring along / to hold (hands) / also pr. [xi1]"
xié,鞋,"shoe
variant of 鞋[xie2]"
xié,撷,"collect
to collect / Taiwan pr. [jie2]"
xié,勰,"harmonious
harmonious"
xié,胁,"side of body / threaten
variant of 脅|胁[xie2]"
xié,协,"cooperate / harmonize / to help / to assist / to join
to cooperate / to harmonize / to help / to assist / to join"
jié,颉,"(surname) / fly upwards / neck
(of a bird) to fly upwards / (of the neck) stiff"
xiě,写,"to write
to write"
xiě,血,"blood, blood
blood / colloquial pr. [xie3] / CL:滴[di1],片[pian4]"
xiè,械,"tools
appliance / tool / weapon / shackles / also pr. [jie4]"
xiè,懈,"lax / negligent
lax / negligent"
xiè,泄,"divulge / leak out
variant of 泄[xie4]"
xiè,蟹,"crab
variant of 蟹[xie4]"
xiè,廨,"office
office"
xiè,瀣,"mist / vapor
mist / vapor"
xiè,屑,"crumbs / filings / worth while
bits / fragments / crumbs / filings / trifling / trivial / to condescend to"
xiè,绁,"leash / rein
variant of 紲|绁[xie4]"
xiè,邂,"meet unexpectedly
to meet unexpectedly"
xiè,渫,"(surname) / get rid of / scatter
to get rid of / to discharge / to dredge"
xiè,躞,"to walk
to walk"
xiè,薤,"Allium bakeri / shallot / scallion
Allium bakeri / shallot / scallion"
xiè,泻,"to flow (out) swiftly / diarrhea
to flow out swiftly / to flood / a torrent / diarrhea / laxative"
xiè,燮,"(surname) / harmony / harmonize
old variant of 燮[xie4]"
xiè,榭,"pavilion
pavilion"
xiè,獬,"(mythical animal)
see 獬豸[xie4 zhi4]"
xiè,谢,"(surname) / to thank
to thank / to apologize / to wither (of flowers, leaves etc) / to decline"
xiè,亵,"licentious
obscene / disrespectful"
xiè,卸,"unload / take off
to unload / to unhitch / to remove or strip / to get rid of"
xiè,骱,"joint of bones
joint of bones"
xīn,辛,"8th heavenly stem / tired
(of taste) hot or pungent / hard / laborious / suffering / eighth in order / eighth of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / letter ""H"" or roman ""VIII"" in list ""A, B, C"", or ""I, II, III"" etc / ancient Chinese compass point: 285° / octa"
xīn,芯,"lamp pith / core
core"
xīn,馨,"fragrant
fragrant"
xīn,新,"meso- (chem.) / new / newly
new / newly / meso- (chemistry)"
xīn,锌,"zinc
zinc (chemistry)"
xīn,歆,"pleased / moved
pleased / moved"
xīn,欣,"happy
happy"
xīn,昕,"dawn
dawn"
xīn,薪,"fuel / salary
fuel / salary"
xīn,忻,"happy
happy"
xīn,心,"heart / mind
heart / mind / intention / center / core / CL:顆|颗[ke1],個|个[ge4]"
xīn,鑫,"(used in names)
(used in names of people and shops, symbolizing prosperity)"
xìn,衅,"offer blood in sacrifice
quarrel / dispute / a blood sacrifice (arch.)"
xìn,囟,"skull / top of head
fontanel (gap between the bones of an infant's skull)"
xìn,信,"letter / true / to believe / sign / evidence
letter / mail / CL:封[feng1] / to trust / to believe / to profess faith in / truthful / confidence / trust / at will / at random"
xīng,惺,"tranquil / understand
tranquil / understand"
xīng,腥,"fishy (smell)
fishy (smell)"
xīng,猩,"ape
ape"
xīng,星,"star / satellite / small amount
star / heavenly body / satellite / small amount"
xīng,兴,"flourish / it is the fashion to / to become popular, interest
feeling or desire to do sth / interest in sth / excitement"
xíng,刑,"punishment
punishment / penalty / sentence / torture / corporal punishment"
xíng,硎,"whetstone
whetstone"
xíng,邢,"(surname) / place name
surname Xing / place name"
xíng,型,"model
mold / type / style / model"
xíng,形,"to appear / to look / form / shape
to appear / to look / form / shape"
xíng,陉,"border the stove / defile / pass
border the stove / defile / pass"
