,ch,py,en
4363,镍,nie4,nickel
4364,晔,ye4,bright light/to sparkle
4365,燔,fan2,burn/to roast meat for sacrifice
4366,涿,zhuo1,place name
4367,醯,xi1,acyl
4368,箩,luo2,basket
4369,鄱,po2,name of a lake
4370,睨,ni4,look askance
4371,坳,ao4,a depression/cavity/hollow
4372,鹭,lu4,heron
4373,砷,shen1,arsenic
4374,唏,xi1,sound of sobbing
4375,琥,hu3,amber
4376,殁,mo4,to end/to die
4377,蚩,chi1,(surname)/ignorant/worm
4378,泾,jing1,name of a river
4379,缥,piao3/piao1,misty/indistinct
4380,殓,lian4,prepare body for coffin
4381,鳅,qiu1,loach
4382,诋,di3,defame/to slander
4383,刍,chu2,(surname)/cut grass/hay/straw/fodder
4384,芷,zhi3,(plant root used for medicine)
4385,嶙,lin2,ranges of hills
4386,逅,hou4,meet unexpectedly
4387,舫,fang3,2 boats lashed together/large boat
4388,呓,yi4,talk in sleep
4389,茁,zhuo2,increase/sprout
4390,馑,jin3,time of famine or crop failure
4391,妫,gui1,(surname)/name of a river
4392,骧,xiang1,prance (as a horse)
4393,擢,zhuo2,pull out/select
4394,峋,xun2,ranges of hills
4395,袂,mei4,sleeve of a robe
4396,懑,men4,melancholy
4397,涞,lai2,brook/ripple
4398,祉,zhi3,felicity
4399,踹,chuai4,kick/trample
4400,沏,qi1,to steep (tea)
4401,诳,kuang2,deceive/lies
4402,噫,yi1,(interj. of approval)/belch
4403,饽,bo1,cake/biscuit
4404,饪,ren4,cooked food/cook until well done
4405,绺,liu3,skein/tuft/lock
4406,谘,zi1,consult
4407,飧,sun1,supper
4408,迳,jing4,way/path/direct/diameter
4409,铡,zha2,lever-knife
4410,枞,cong1,abies firma
4411,熨,yu4/yun4,"reconciled/smooth, an iron/to iron"
4412,鋈,wu4,-plated/to plate
4413,荭,hong2,herb
4414,赊,she1,buy on credit
4415,俦,chou2,comrades/friends/companions
4416,戛,jia2,a lance/standing alone
4417,湎,mian3,drunk
4418,觯,zhi4,goblet
4419,龌,wo4,dirty/small-minded
4420,挞,ta4,flog/rapid
4421,嬴,ying2,full/profit/win
4422,苻,fu2,Angelica anomala
4423,嘁,qi1,whispering sound
4424,鞯,jian1,saddle blanket
4425,肽,tai4,peptide
4426,恸,tong4,grief
4427,迨,dai4,catch/seize/until
4428,钰,yu4,hard metals
4429,儆,jing3,warn/admonish
4430,觎,yu2,passionately desire
4431,讫,qi4,finished
4432,滓,zi3,dregs/sediment
4433,僮,tong2/zhuang4,"boy, name of an ethnic group in Guangxi"
4434,媾,gou4,to marry/to copulate
4435,龇,zi1,projecting teeth
4436,胯,kua4,thigh/leg
4437,涮,shuan4,rinse
4438,绾,wan3,bind up/string together
4439,杈,cha1/cha4,"fork of a tree/pitchfork, branches of a tree/fork of a tree"
4440,斛,hu2,5 pecks (M)
4441,觥,gong1,big/cup made of horn/horn wine container
4442,疸,dan3/da,jaundice
4443,卞,bian4,(surname)/hurried
4444,愠,yun4,indignant/feel hurt
4445,拮,jie2,antagonistic/laboring hard/pressed
4446,庠,xiang2,asylum for the aged/school
4447,烨,ye4,blaze of fire/glorious
4448,菠,bo1,spinach
4449,窈,yao3,deep/quiet and elegant
4450,罄,qing4,entirely/exhausted/stern
4451,囤,dun4/tun2,"bin for grain, to store/hoard"
4452,弁,bian4,cap
4453,奘,zang4/zhuang3,"great, fat/stout"
4454,缫,sao1,reel silk from cocoons
4455,腴,yu2,fat on belly/fertile/rich
4456,缈,miao3,indistinct
4457,喵,miao1,meow (onomat. for cat's mewing)
4458,潢,huang2,dye paper/lake/pond/mount scroll
4459,遛,liu4/liu2,to stroll/walk a horse/to linger
4460,柚,you4,pomelo/shaddock
4461,郏,jia2,name of a district in Henan
4462,荻,di2,Anaphalis yedoensis
4463,藜,li2,Chenopodium album
4464,琨,kun1,(jade)
4465,镳,biao1,darts/escort/horsebit
4466,雉,zhi4,ringed pheasant
4467,橐,tuo2,sack/tube for blowing fire
4468,骈,pian2,literary style
4469,蛉,ling2,sandfly
4470,艮,gen4,a sign in trigram
4471,搽,cha2,"apply (ointment, powder)/smear/paint on"
4472,濡,ru2,dilatory/to moisten
4473,寮,liao2,Laos/fellow-official/hut
4474,柩,jiu4,bier
4475,佗,tuo2,carry on the back
4476,诜,shen1,inform/inquire
4477,偻,lou2/lv3,hunchback
4478,夯,hang1/ben4,drive piles
4479,闱,wei2,door to women's room/gate to palace
4480,谖,xuan1,Hemerocallis flava/false/forget
4481,夥,huo3,assistant/partner/many/great/numerous
4482,枸,gou1/gou3/ju3,"Acgle sepiaria, Lycium chinense, Citrus medica"
4483,膑,bin4,kneecap/patella
4484,虻,meng2,Tabanus trigonus/house fly
4485,筠,yun2/jun1,skin of bamboo
4486,埽,sao4,broom/dike
4487,笞,chi1,to whip with bamboo strips
4488,臾,yu2,(surname)/a moment/little while
4489,婀,e1,graceful/willowy/unstable
4490,珞,luo4,neck-ornament
4491,粑,ba1,tsamba (food in Tibet)
4492,怵,chu4,fearful/timid/to fear
4493,绻,quan3,bound in a league
4494,殒,yun3,perish/die
4495,觊,ji4,covet/long for
4496,崂,lao2,name of a mountain in Shandong
4497,颧,quan2,cheek bones
4498,嗑,ke4/ke1,to crack (seeds) with front teeth
4499,榛,zhen1,hazel tree/Corylus heterophylla
4500,昱,yu4,bright light
4501,蜴,yi4,chameleon/Eumeces latiscutatus
4502,鳝,shan4,Chinese yellow eel
4503,噙,qin2,hold in the mouth
4504,淼,miao3,a flood/infinity
4505,矾,fan2,alum
4506,硼,peng2,boron
4507,囿,you4,park/to limit/be limited to
4508,泅,qiu2,submerge/swim under water
4509,邂,xie4,meet unexpectedly
4510,钜,ju4,great/hard iron
4511,蠹,du4,bookworm/Lepisma saccharina
4512,垩,e4,to whitewash/to plaster
4513,乩,ji1,to divine
4514,嗝,ge2,hiccup/belch
4515,淦,gan4,name of a river
4516,樽,zun1,goblet/bottle/wine-jar
4517,诮,qiao4,ridicule/to blame
4518,揆,kui2,consider/estimate
4519,啐,cui4,sip/spit
4520,淅,xi1,sound of rain/sleet etc.
4521,榉,ju3,Zeikowa acuminata
4522,馗,kui2,cheekbone/crossroads/high
4523,辔,pei4,bridle/reins
4524,暹,xian1,Siam
4525,骛,wu4,fast/greedy/run rapidly
4526,鱿,you2,cuttlefish
4527,苫,shan1,straw mat/thatch
4528,獠,liao2,fierce/hunt/name of a tribe
4529,詈,li4,curse/scold
4530,竦,song3,horrified/incite/raise
4531,篙,gao1,pole for punting boats
4532,诨,hun4,jest/nickname
4533,铰,jiao3,scissors/to cut (with scissors)
4534,馄,hun2,Chinese ravioli
4535,蜚,fei3/fei1,gad-fly
4536,峒,tong2/dong4,name of a mountain
4537,滢,ying2,clear/limpid (of water)
4538,琬,wan3,ensign of royalty
4539,靓,jing4/liang4,make up (face)
4540,狻,suan1,(mythical animal)
4541,璨,can4,gem/luster of gem
4542,鸬,lu2,fishing cormorant
4543,芩,qin2,Phragmites japonica
4544,嘹,liao2,clear sound/cry (of cranes etc.)
4545,锟,kun1,steel sword
4546,蜇,zhe1/zhe2,"to sting, jellyfish"
4547,洹,huan2,name of a river
4548,俪,li4,husband and wife
4549,钍,tu3,thorium
4550,瑁,mao4,(jade)
4551,壹,yi1,one (alternate form of 一 used on checks)
4552,痿,wei3,atrophy
4553,粕,po4,grains in distilled liquor
4554,犄,ji1,ox-horns/wing of an army
4555,饯,jian4,farewell dinner/preserves
4556,抟,tuan2,roll round with hand
4557,衲,na4,cassock/to line
4558,踮,dian3,tip toe
4559,龅,pao2/bao1,projecting teeth
4560,愎,bi4,perverse/obstinate
4561,梏,gu4,braces (med.)/fetters/manacles
4562,讣,fu4,obituary notice
4563,邝,kuang4,(surname)
4564,趺,fu1,instep/tarsus
4565,鲟,xun2,acipenser sp./sturgeon
4566,剜,wan1,scoop out
4567,绉,zhou4,crepe/wrinkle
4568,罅,xia4,crack/grudge
4569,笥,si4,hamper/trunk
4570,衩,cha3/cha4,"open seam of a garment/shorts/panties, slit on either side of robe"
4571,姣,jiao1,(surname)/cunning/pretty
4572,斫,zhuo2,chop/carve wood
4573,鹗,e4,fish eagle/fish hawk/osprey
4574,爻,yao2,lines on a trigram
4575,猕,mi2,macaque
4576,铩,sha1,spear
4577,窕,tiao3,quiet and elegant
4578,仨,sa1,three (of)
4579,搡,sang3,push back/push over
4580,崴,wei1/wai3,"high, lofty/precipitous"
4581,酢,zuo4,toast to host by guest
4582,檄,xi2,dispatch/order
4583,佞,ning4,eloquent/talent
4584,孑,jie2,alone/mosquito larvae/small
4585,璀,cui3,luster of gems
4586,岷,min2,name of a river in Sichuan
4587,舛,chuan3,mistaken/erroneous/contradictory
4588,邕,yong1,harmonious
4589,铂,bo2,platinum
4590,霁,ji4,sky clearing up
4591,犒,kao4,give a bonus to
4592,馏,liu4/liu2,reheat by steaming
4593,阈,yu4,threshold
4594,麋,mi2,(surname)/moose/river bank
4595,麒,qi2,mythical unicorn
4596,苁,cong1,Boschniakia glabra
4597,摁,en4,to press (with finger)
4598,涔,cen2,overflow/rainwater/tearful
4599,宥,you4,forgive/help/profound
4600,妍,yan2,beautiful
4601,铤,ding4/ting3,"ingot, big arrow/walk fast"
4602,锷,e4,blade edge/sharp
4603,恽,yun4,(surname)
4604,麂,ji3,Moschus chinensis
4605,赝,yan4,false
4606,胛,jia3,shoulder blade
4607,哂,shen3,smile
4608,撷,xie2,collect
4609,呶,nao2,clamor
4610,噘,jue1,pout
4611,懔,lin3,fear
4612,栎,li4,oak/Quercus serrata
4613,桎,zhi4,fetters
4614,霰,xian4,sleet
4615,飨,xiang3,offer or enjoy sacrifice
4616,揄,yu2,draw out/let hanging
4617,娣,di4,wife of a younger brother
4618,薏,yi4,Coix lacryma
4619,忝,tian3,to shame
4620,迤,yi2/yi3,"winding, extending to"
4621,贲,ben1/bi4,"energetic, bright"
4622,胪,lu2,belly/skin/to state
4623,鍪,mou2,iron pot/metal cap
4624,泸,lu2,name of a river/place name
4625,蔫,nian1,fade/wither
4626,刈,yi4,mow
4627,僖,xi1,(surname)/cautious/merry/joyful
4628,咿,yi1,(onomat.)
4629,鹌,an1,quail
4630,茏,long2,Polygonum posumbu
4631,茯,fu2,Pachyma cocos/china root
4632,岫,xiu4,cave/mountain peak
4633,嵘,rong2,lofty
4634,怼,dui4,dislike/hate
4635,铨,quan2,estimate/select
4636,昕,xin1,dawn
4637,郢,ying3,name of an ancient city
4638,咩,mie1,the bleating of sheep
4639,馊,sou1,rancid/soured (as food)
4640,髡,kun1,make the head bald
4641,澧,li3,(surname)/name of a river
4642,苣,ju4,(lettuce)
4643,濯,zhuo2,rinse/to cleanse
4644,盥,guan4,wash (especially hands)
4645,囡,nan1,one's daughter/to filch/to secrete
4646,砺,li4,grind/sandstone
4647,佘,she2,(surname)
4648,谶,chen4,prophecy/omen
4649,弑,shi4,murder a superior
4650,楂,cha2/zha1,"fell trees/raft/to hew, Chinese quince/hawthorn"
4651,翦,jian3,cut with scissors/scissors
4652,怩,ni2,"shy, timid, bashful/look ashame"
4653,霏,fei1,fall of snow
4654,楹,ying2,pillar
4655,讴,ou1,sing ballads/songs
4656,锲,qie4,cut/to carve
4657,慵,yong1,careless
4658,胝,zhi1,callous
4659,砭,bian1,a stone probe/acupuncture
4660,潍,wei2,name of a river
4661,杵,chu3,pestle/to poke
4662,樾,yue4,shade of trees
4663,帼,guo2,cap worn by women/feminine
4664,碣,jie2,stone tablet
4665,诌,zou1/zhou1,make up (a story)
4666,徕,lai2,to come
4667,胴,dong4,large intestine/torso
4668,钴,gu3,cobalt
4669,裟,sha1,Buddhist monk's robe
4670,啶,ding4,-d + ine (chem.)
4671,铣,xian3/xi3,shining metal
4672,铱,yi1,iridium
4673,楫,ji2,oar/to row
4674,赭,zhe3,ocher
4675,碛,qi4,moraine/rocks in shallow water
4676,酊,ding3,intoxicated
4677,魑,chi1,mountain elf
4678,醛,quan2,aldehyde
4679,剐,gua3,cut off the flesh as punishment
4680,畦,qi2,furrow/small plot of farm land
4681,陂,pi2/po1/bei1,"reservoir, rugged/uneven"
4682,阄,jiu1,(draw) lots/lot (in a game of chance)
4683,祚,zuo4,blessing/the throne
4684,鹘,hu2/gu3,falcon/migratory bird
4685,泱,yang1,"agitated (wind, cloud)/boundless"
4686,趄,ju1/qie4,"hesitate/mark time, recline"
4687,骅,hua2,chestnut horse
4688,陲,chui2,frontier
4689,郧,yun2,name of a feudal state
4690,倜,ti4,energetic/exalted/magnanimous
4691,呤,ling2/ling4,purine in chem. compound/whisper
4692,燧,sui4,fire/speculum
4693,铉,xuan4,"stand for bronze tripod (archeol.)/used in names, e.g. 卢武铉 President Loh Roh Mu-hyun of South Korea"
4694,粲,can4,beautiful/bright/splendid/smilingly
4695,忸,niu3,accustomed to/blush/be shy
4696,渌,lu4,clear (water)/strain liquids
4697,骞,qian1,defective/raise
4698,髭,zi1,mustache
4699,戡,kan1,kill/suppress
4700,钨,wu1,tungsten
4701,谲,jue2,deceitful
4702,苋,xian4,Amarantus mangostanus
4703,蜊,li2,clam
4704,幄,wo4,tent
4705,闼,ta4,door of an inner room
4706,骊,li2,black horse/good horse
4707,虢,guo2,name of an ancient state
4708,烩,hui4,cooked in soy and vinegar
4709,傥,tang3,if/unexpectedly
4710,妲,da2,concubine of last Shang emperor
4711,绌,chu4,crimson silk/deficiency/to stitch
4712,桠,ya1,forking branch
4713,袈,jia1,Buddhist monk's robe
4714,薮,sou3,marsh/place of concourse
4715,揿,qin4,to press (bell)
4716,杲,gao3,high/sun shines brightly/to shine
4717,肓,huang1,region between heart and diaphragm
4718,厝,cuo4,bury/to place/dispose
4719,莅,li4,attend (official functions)
4720,氤,yin1,generative forces/magic emanation
4721,缙,jin4,red silk
4722,衮,gun3,imperial robe
4723,诟,gou4,sense of shame/to abuse
4724,旖,yi3,fluttering of flag
4725,硒,xi1,selenium
4726,唁,yan4,condole with
4727,嬗,shan4,changes and succession
4728,硎,xing2,whetstone
4729,裱,biao3,hang (paper)/mount (painting)
4730,颦,pin2,knit the brows
4731,靥,ye4,dimple
4732,纥,ge1/he2,"knot, tassels"
4733,煨,wei1,simmer/to roast in ashes
4734,礴,bo2,fill/extend
4735,鏖,ao2,violent fighting
4736,蝈,guo1,cyrtophyllus sp.
4737,笏,hu4,tablet held at an audience
4738,羿,yi4,name of a famous archer
4739,鼐,nai4,incense tripod
4740,湟,huang2,name of a river
4741,甑,zeng4,caldron/rice pot
4742,炜,wei3,glow/raging fire
4743,煲,bao1,pot or saucepan/to boil/cook or heat
4744,锉,cuo4,"to file, a file (tool for shaping metal)/to file"
4745,笕,jian3,bamboo water pipe
4746,喑,yin1,dumb
4747,嶂,zhang4,cliff/range of peaks
4748,浔,xun2,name of a river/steep bank
4749,弭,mi3,to stop/repress
4750,妪,yu4,brood over/old woman/protect
4751,锂,li3,lithium
4752,苡,yi3,plantago major l. var. asiatica
4753,孳,zi1,industrious/produce/bear
4754,颏,ke1/ke2,"chin, chin"
4755,醴,li3,sweet wine
4756,渚,zhu3,islet/bank
4757,轭,e4,restrain/yoke
4758,鹬,yu4,common snipe
4759,膘,biao1,fat of a stock animal
4760,邛,qiong2,mound/place name
4761,痨,lao2,tuberculosis
4762,褡,da1,cummerbund
4763,耦,ou3,pair/mate/ploughshare
4764,覃,tan2,(surname)/deep
4765,馔,zhuan4,food/delicacies
4766,篾,mie4,bamboo splints for baskets
4767,兖,yan3,place name
4768,遨,ao2,make excursion/ramble/travel
4769,爰,yuan2,therefore/to lead on to
4770,痂,jia1,scab
4771,艄,shao1,stern of boat
4772,耨,nou4,hoe
4773,沤,ou1/ou4,"bubble/froth, steep"
4774,秣,mo4,feed a horse with grain/horse feed
4775,昶,chang3,bright/long day
4776,绦,tao1,braid/cord/sash
4777,俎,zu3,a stand for food at sacrifice
4778,榫,sun3,tenon and mortise
4779,蟪,hui4,(cicada)/Platypleura kaempferi
4780,稗,bai4,millet/Panicum crus
4781,謇,jian3,speak out boldly
4782,氩,ya4,argonium
4783,锴,kai3,high quality iron
4784,龉,yu3,irregular teeth
4785,烃,ting1,hydrocarbon
4786,俣,yu3,big
4787,嬷,ma1/mo2,ma/mamma
4788,肱,gong1,brachium/humerus
4789,鸢,yuan1,kite
4790,笫,zi3,planks of bed/sleeping-mat
4791,痤,cuo2,acne
4792,莆,pu2,place name
4793,芨,ji2/ji1,Bletilla hyacinthina (mucilaginous)/Acronym for the Chinese Elder tree ?草
4794,阕,que4,section of a song/shut
4795,砣,tuo2,steelyard weight
4796,鼹,yan3,mole
4797,猷,you2,consult with/to scheme
4798,竽,yu2,(mus. instr.)
4799,舸,ge3,barge
4800,诓,kuang1,mislead/to swindle
4801,錾,zan4,engrave
4802,淬,cui4,dip into water/to temper
4803,隗,wei3,(surname)/eminent/lofty
4804,悌,ti4,do one's duty as a younger brother
4805,姘,pin1,be a mistress or lover
4806,邈,miao3,profound/remote
4807,婕,jie2,handsome
4808,歙,she4/xi1,name of a district in Anhui
4809,稹,zhen3,accumulate/fine and close
4810,蹴,cu4,carefully/kick/tread on/stamp
4811,砒,pi1,arsenic
4812,痈,yong1,carbuncle
4813,镏,liu2,lutecium
4814,羯,jie2,castrate a ram/deer's skin
4815,豕,shi3,hog/swine
4816,鲂,fang2,bream/Zeus japanicus
4817,蓖,bi4,the castor-oil plant
4818,匦,gui3,small box
4819,笤,tiao2,broom
4820,峥,zheng1,excel/lofty
4821,徭,yao2,compulsory service
4822,烊,yang2,molten/smelt
4823,酆,feng1,(surname)/name of an ancient city
4824,缢,yi4,hang/strangle oneself
4825,褓,bao3,cloth for carrying baby on back
4826,蚨,fu2,(water-beetle)/money
4827,翳,yi4,feather screen/to screen/to shade
4828,趔,lie4,stumble
4829,炔,que1/gui4,alkyne
4830,誊,teng2,make a (clean) copy
4831,赜,ze2,mysterious
4832,仃,ding1,alone
4833,勖,xu4,exhort/stimulate
4834,葺,qi4,to repair
4835,蚴,you4,larva
4836,泷,long2/shuang1,"torrential (rain), name of a river in Guangdong"
4837,蛴,qi2,larva/maggot
4838,媸,chi1,ugly woman
4839,俳,pai2,irresolute/not serious/variety show
4840,诖,gua4,deceive/disturb
4841,茑,niao3,grossulariaceae
4842,逡,qun1,shrink from
4843,孱,can4/chan2,"dodger, coward/weak"
4844,砦,zhai4,stronghold/stockade
4845,跸,bi4,to clear streets when emperor tours
4846,祜,hu4,celestial blessing
4847,伉,kang4,husband/wife
4848,溴,xiu4,bromine
4849,屐,ji1,clogs
4850,掮,qian2,carry on shoulders
4851,崆,kong1,name of a mountain
4852,庾,yu3,(surname)/name of a mountain
4853,橛,jue2,a peg/low post
4854,鸨,bao3,Chinese bustard/procuress
4855,圻,qi2,boundary/a border
4856,缂,ke4,to woof
4857,蒯,kuai3,a rush/scirpus cyperinus
4858,诹,zou1,choose/consult
4859,啭,zhuan4,"sing, chirp, warble, twitter"
4860,饧,xing2/tang2,malt-sugar/molasses
4861,镉,ge2,cadmium
4862,鸪,gu1,partridge/Francolinus chinensis
4863,蛩,qiong2,anxious/grasshopper/a cricket
4864,蠖,huo4,looper caterpillar
4865,劭,shao4,(surname)/stimulate to effort
4866,崧,song1,lofty/name of a mountain in Henan
4867,杼,zhu4,shuttle of a loom
4868,棂,ling2,"lattice, the lattice of a window a sill, a lintel"
4869,螫,shi4/zhe1,"to sting, to sting"
4870,龃,ju3,irregular/uneven teeth
4871,饔,yong1,dressed food/first meal of the day
4872,遑,huang2,leisure
4873,颢,hao4,bright/white
4874,腱,jian4,gristle
4875,襁,qiang3,cloth for carrying baby on back
4876,忾,kai4,anger
4877,濠,hao2,trench
4878,牝,pin4,female
4879,蛄,gu1,mole-cricket
4880,嗄,a2/sha4,"ah (exclamatory part.), hoarse"
4881,灏,hao4,vast (of water)
4882,疥,jie4,scabies
4883,苜,mu4,clover
4884,荞,qiao2,buckwheat
4885,夤,yin2,late at night
4886,颞,nie4,temporal bones
4887,忤,wu3,disobedient/unfilial
4888,遢,ta4/ta1,"careless, negligent, slipshod"
4889,旎,ni3,fluttering of flags
4890,魉,liang3,sprite/fairy
4891,辇,nian3,emperor's carriage
4892,瓤,rang2,pulp of fruit
4893,荥,xing2/ying2,place name
4894,娌,li3,husband's brother's wife
4895,氚,chuan1,tritium
4896,毂,gu1/gu3,"wheel, hub of wheel"
4897,碇,ding4,anchor
4898,毖,bi4,careful/prevent
4899,壅,yong1,obstruct/stop up
4900,缛,ru4,adorned/beautiful
4901,玮,wei3,(reddish jade)/precious/rare
4902,羟,qiang3,hydroxyl (radical)
4903,珈,jia1,gamma/jewelry
4904,颀,qi2,tall
4905,虼,ge4,flea
4906,翕,xi4/xi1,agree
4907,遴,lin2,(surname)/select for appointment
4908,珏,jue2,gems mounted together
4909,郛,fu2,suburbs
4910,玖,jiu3,(black stone)/nine (fraud-proof)
4911,蹇,jian3,(surname)/difficulty/lame
4912,逋,bu1,flee/abscond/owe
4913,氅,chang3,overcoat
4914,粽,zong4,rice dumplings wrapped in leaves
4915,诂,gu3,comment/explain
4916,岢,ke3,name of a mountain
4917,髁,ke1,condyles
4918,黍,shu3,broomcorn millet/glutinous millet
4919,芾,fei4/fu2,"small, luxuriance of vegetation"
4920,淝,fei2,name of a river
4921,鲎,hou4,king crab
4922,鞣,rou2,suede/chamois/tannin/to tan
4923,髋,kuan1,pelvis/pelvic
4924,闳,hong2,(surname)/big/gate
4925,潆,ying2,eddy/small river
4926,汨,mi4,name of a river
4927,胍,gua1,guanidine
4928,阏,e4/yan1,"shut/stop, first wives of xiong-nu chiefs"
4929,钤,qian2,latch of door/seal
4930,鬈,quan2,to curl/curled
4931,铵,an3,ammonium
4932,戬,jian3,carry to the utmost/to cut
4933,崮,gu4,(element in mountain names)
4934,枰,ping2,chess-like game
4935,樯,qiang2,boom/mast
4936,脍,kuai4,chopped meat or fish
4937,畲,yu2/she1,cultivated field
4938,衾,qin1,coverlet/quilt
4939,蹼,pu3,"web (of feet of ducks, frogs, etc.)"
4940,劬,qu2,labor
4941,囫,hu2,whole/in one lump
4942,洱,er3,name of a river
4943,刎,wen3,cut across (throat)
4944,碚,bei4,place name in Chongqing
4945,鳕,xue3,codfish/Gadus macrocephalus
4946,谪,zhe2,disgrace (an official)/find fault
4947,恂,xun2,sincere
4948,槿,jin3,Hibiscus syriacus/transient
4949,鲢,lian2,Hypophthalmichthys moritrix
4950,鲧,gun3,father of great yeu
4951,嘧,mi4,(phonetic) as in pyrimidine
4952,绀,gan4,violet or purple
4953,郦,li4,(surname)/ancient place name
4954,噱,jue2,loud laughter
4955,浠,xi1,name of a river in Hubei
4956,潸,shan1,tearfully
4957,跏,jia1,sit cross-legged
4958,鲶,nian2,sheat
4959,矍,jue2,(surname)/glance fearfully
4960,苌,chang2,carambola
4961,琰,yan3,gem/glitter of gems
4962,龆,tiao2,shed the milk teeth/young
4963,臬,nie4,provincial judge
4964,芄,wan2,Metaplexis stauntoni
4965,雒,luo4,black horse with white mane/fearful
4966,觞,shang1,feast/goblet
4967,钒,fan2,vanadium
4968,饫,yu4,full (as of eating)
4969,阒,qu4,live alone/quiet
4970,槎,cha2,a raft made of bamboo or wood/to fell trees/to hew
4971,鸩,zhen4,poisonous/to poison
4972,舂,chong1,to pound (grain)/beat
4973,谠,dang3,advice/counsels
4974,阡,qian1,road leading north and south
4975,莒,ju3,(fibrous plant)
4976,萸,yu2,cornelian cherry
4977,妗,jin4,wife of mother's brother
4978,稔,ren3,ripe grain
4979,穰,rang2,(surname)/abundant/stalk of grain
4980,蚧,jie4,horned toad
4981,餍,yan4,eat to the full
4982,谯,qiao2/qiao4,"(surname)/drum tower, ridicule/to blame"
4983,芗,xiang1,(Fujian drama)
4984,菸,yan1,cigarette/tobacco
4985,葩,pa1,corolla of flower
4986,厣,yan3,operculum
4987,佻,tiao1,frivolous/unsteady/delay
4988,饩,xi4,grain ration/sacrificial victim
4989,钏,chuan4,an armlet/bracelet
4990,蠓,meng3,grasshopper/midge/sandfly
4991,黩,du2,blacken/constantly/to insult
4992,倨,ju4,stubborn
4993,缬,xie2,knot/tie a knot
4994,殚,dan1,entirely/to exhaust
4995,钿,dian4/tian2,"gold inlaid work, gold inlaid work"
4996,鎏,liu2,bessemerizing of matte
4997,恁,ren4/nin2,"that, like this, thus, so, such"
4998,藿,huo4,Lophanthus rugosus/beans
4999,囟,xin4,skull/top of head
5000,鄣,zhang1,place name
5001,婺,wu4,beautiful
5002,瓯,ou1,bowl/cup
5003,旃,zhan1,felt/silken banner
5004,锶,si1,strontium
5005,恹,yan1,contented/peaceful
5006,逶,wei1,"winding, curving/swagger"
5007,缦,man4,plain thin silk/slow/unadorned
5008,鸹,gua1,the crow
5009,螟,ming2,Heliothus armigera
5010,菟,tu4/tu2,dodder/cuscuta
5011,阗,tian2,fill up/rumbling sound
5012,濉,sui1,name of a river
5013,篑,kui4,basket for carrying soil
5014,醪,lao2,wine or liquor with sediment
5015,鲛,jiao1,shark
5016,讦,jie2,accuse/pry
5017,媪,ao3,old woman
5018,邬,wu1,(surname)/ancient place name
5019,殇,shang1,die prematurely
5020,鄯,shan4,name of a district in Xinjiang
5021,芡,qian4,Euryale ferox
5022,嫠,li2,widow
5023,峤,jiao4/qiao2,highest peak
5024,掼,guan4,fling/smash
5025,焖,men4,cook in a covered vessel
5026,愆,qian1,fault/transgression
5027,聩,kui4,born deaf/deaf
5028,岘,xian4,steep hill
5029,靛,dian4,indigo pigment
5030,菖,chang1,calamus
5031,姒,si4,(surname)/wife of older brother
5032,杷,pa2,loquat
5033,蚋,rui4,(mosquito)/Simulia lugubris/blackfly
5034,笳,jia1,whistle made of reed
5035,挈,qie4,pull out/take family along
5036,踽,ju3,hunchbacked/walk alone
5037,黾,min3/mian3,toad
5038,侩,kuai4,broker
5039,凫,fu2,mallard/Anas platyrhyncha
5040,诔,lei3,eulogize the dead/eulogy
5041,郯,tan2,(surname)/name of an ancient city
5042,韪,wei3,correct/right
5043,挲,suo1,feel/to fondle
5044,笪,da2,(surname)/rough bamboo mat
5045,鼋,yuan2,sea turtle
5046,菅,jian1,(grass)/Themeda forsbali
5047,嵊,sheng4,name of a district in Zhejiang
5048,裢,lian2,pouch hung from belt
5049,箸,zhu4,chopsticks
5050,莴,wo1,(lettuce)/Lactuca sativa
5051,莠,you3,Setaria viridis/vicious
5052,阌,wen2,"wen xiang, Henan province"
5053,圜,huan2/yuan2,"circle/encircle, circle/round"
5054,涪,fu2,name of a river
5055,柞,zuo4/zha4,oak/Quercus serrata
5056,囵,lun2,complete
5057,榧,fei3,Torreya nucifera
5058,笾,bian1,basket for fruits
5059,簟,dian4,fine woven grass mat
5060,跎,tuo2,stumble
5061,巽,xun4,a sign in the trigram/obey
5062,曷,he2,why/how/when/what/where
5063,逖,ti4,far
5064,骓,zhui1,(surname)/piebald
5065,枋,fang1,Santalum album
5066,镒,yi4,abrasion/gold-20 taels in weight
5067,魃,ba2,drought demon
5068,餮,tie4,gluttonous
5069,讵,ju4,how (interj. of surprise)
5070,乜,mie1/nie4,squint
5071,鄢,yan1,(surname)/name of a feudal state
5072,瑭,tang2,(jade)
5073,踅,chi4/xue2,"walk with one leg, to walk around/turn back midway"
5074,蟛,peng2,(land-crab)/grapsus sp.
5075,荛,rao2,fuel/grass
5076,忪,zhong1/song1,restless/agitated
5077,阍,hun1,door-keeper
5078,纰,pi1,error/carelessness/spoiled silk
5079,桉,an1,eucalyptus globulus
5080,氪,ke4,krypton
5081,氘,dao1,deuterium
5082,汊,cha4,branching stream
5083,娉,ping1,graceful
5084,纡,yu1,(surname)/cord/twist
5085,缟,gao3,plain white silk
5086,堋,peng2,target in archery
5087,蔺,lin4,juncus effusus
5088,庥,xiu1,protection/shade
5089,枥,li4,stable
5090,鹕,hu2,pelican
